NMEA|NMEA|NMEA|MSG|REPEAT|MMSI|SEQNO|DEST|RETRANS|DAC|FID|SUB
||!AIVDM,1,1,,A,6@28nOP0R=Wr03H4L0183Q<0N02`,0*19|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wr03H4L0183Q<0N02`,0*1A|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,B,602;bSh0Rr`t03H100000080000,2*37|6|0|2288271|0|2288271|0|0|54|
||!AIVDM,1,1,,B,602;bSh0Rr`v03H100000080000,2*35|6|0|2288271|0|2288271|1|0|54|
||!AIVDM,1,1,,A,602;bSh0Rr`t03H20e0nJrDiBFtO,0*2C|6|0|2288271|0|2288271|0|0|54|
||!AIVDM,1,1,,A,602;bSh0Rr`v03H20e0nJrDiBFtO,0*2E|6|0|2288271|0|2288271|1|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wp03H6003?,0*21|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,B,602;bSh0Rr`t03H3KP0n1g41@01t,0*2C|6|0|2288271|0|2288271|0|0|54|
||!AIVDM,1,1,,B,602;bSh0Rr`v03H3KP0n1g41@01t,0*2E|6|0|2288271|0|2288271|1|0|54|
||!AIVDM,1,1,,A,602;bSh0Rr`t03H4L@0j1:T0tP1j,0*4D|6|0|2288271|0|2288271|0|0|54|
||!AIVDM,1,1,,A,602;bSh0Rr`v03H4L@0j1:T0tP1j,0*4F|6|0|2288271|0|2288271|1|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wp03H0Ch2HJQGN0FT,2*4B|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wp03H0Ch2HJQGN0FT,2*48|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wr03H0Ch2HJQGN0FT,2*49|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,B,602;bSh0Rr`v03H5pD2TdK5g,0*24|6|0|2288271|0|2288271|1|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wr03H100000000000,2*19|6|1|2242174|0|2242174|1|0|54|
|!AIVDM,2,1,3,A,60474hiVhUtd04000W>3i<PTtL4l7s;7c;ELD5@PE:1<PU8UT60qN37Dn1L5HF,0*65|!AIVDM,2,2,3,A,0PDTLQADpdpuLpn3;7c;,0*59|6|0|4310211|0|431003595|0|1|0|
|!AIVDM,2,1,7,A,60474hiVhmbT04000W>3i<PTtL4l7s;7c;ELD5@PE:1@t@tL5<4dV1LqN38n3;,0*42|!AIVDM,2,2,7,A,7c;ELD5@PE:0eD`UE<PT,0*30|6|0|4310211|0|431019689|0|1|0|
!AIVDM,3,1,9,A,604759AVhTpD04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*31|!AIVDM,3,2,9,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*56|!AIVDM,3,3,9,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*15|6|0|4310309|0|431002501|0|1|0|
