NMEA|NMEA|NMEA|MSG|REPEAT|MMSI|DAC|FID|
|!AIVDM,2,1,2,A,8@2<HVh0BkQdbhW8wrVF0hQC=JJ;wweFwwwwwwwwwwwwwwwwwwwwwwww,0*24|!AIVDM,2,2,2,A,wt0,2*25|8|1|2300059|1|11|
|!AIVDM,2,1,9,A,8>lEJvP0Bj96WkWjHBbn000000000000000000000000000000000000,0*4F|!AIVDM,2,2,9,A,000,2*2D|8|0|994401018|1|11|
|!AIVDM,2,1,6,A,8>lEU1h0Bj47bCe?qRbn000000000000000000000000000000000000,0*7F|!AIVDM,2,2,6,A,000,2*22|8|0|994403591|1|11|
|!AIVDM,2,1,9,A,8>lEM=00Bj08bCcq:Rbn1@l9P`OF80<p000000000000000000000000,0*6D|!AIVDM,2,2,9,A,000,2*2D|8|0|994401588|1|11|
|!AIVDM,2,1,2,A,8>lEM<h0Bj06FSd;uRbm2QU3`0S680=8000000000000000000000000,0*60|!AIVDM,2,2,2,A,000,2*26|8|0|994401587|1|11|
|!AIVDM,2,1,4,A,8030pJh0BjlQ?tNg2rVFwwwwwwwwwwwwwkOTAFwwwwwwwwwwwwwwwwww,0*5F|!AIVDM,2,2,4,A,wwt,2*64|8|0|3160171|1|11|
||!AIVDM,1,1,,A,8030pJh0BjlQ?tNg2rVFwwwwwwwwwwwwwkOTAFwwwwwwwwwwwwwwwwwwwwt,2*1E|8|0|3160171|1|11|
|!AIVDM,2,1,1,A,8030pJh0BjlQ?tNg2rVFwwwwwwwwwwwwwkOTAFwwwwwwwwwwwwwwwwww,0*5A|!AIVDM,2,2,1,A,wwt,2*61|8|0|3160171|1|11|
||!AIVDM,1,1,,A,8030pJh0BjlQ?tNg2rVFwwwwwwwwwwwwwkOTAFwwwwwwwwwwwwwwwwwwwwu,2*1F|8|0|3160171|1|11|
|!AIVDM,2,1,8,B,8>lEM:h0Bj0Bgkd?l2bnQ@uKcHPE80=T0000Hl0000000000000000gP,0*22|!AIVDM,2,2,8,B,D@0,2*2B|8|0|994401579|1|11|
|!AIVDM,2,1,7,A,8@2<HVh0BkJs3PW842VFP@8d7:`KOwe>wwwwwwwwwwwwwwwwwwwwwwww,0*21|!AIVDM,2,2,7,A,wt0,2*20|8|1|2300059|1|11|
||!AIVDM,1,1,,A,8@2<HVh0BkJs3PW842VFP@8d7:`KOwe>wwwwwwwwwwwwwwwwwwwwwwwwwt0,2*24|8|1|2300059|1|11|
|!AIVDM,2,1,8,A,8@2<HVh0BkJs3PW842VFP@8d7:`KOwe>wwwwwwwwwwwwwwwwwwwwwwww,0*2E|!AIVDM,2,2,8,A,wt0,2*2F|8|1|2300059|1|11|
||!AIVDM,1,1,,A,8>k9g;P0Bjl2QdM5arVFPhbUE0J@4AegwkSwwwwwwwwwwwwwwwwwwwwwwwt,2*3F|8|0|993161006|1|11|
|!AIVDM,2,1,5,A,8>k9g;P0Bjl2QdM5arVFPhbUE0J@4AegwkSwwwwwwwwwwwwwwwwwwwww,0*7F|!AIVDM,2,2,5,A,wwt,2*65|8|0|993161006|1|11|
|!AIVDM,2,1,2,A,8>lEJvP0Bj96WkWjHBbn000000000000000000000000000000000000,0*44|!AIVDM,2,2,2,A,000,2*26|8|0|994401018|1|11|
|!AIVDM,2,1,3,B,8>lEK5@0Bj8wi3Wh?bbn000000000000000000000000000000000000,0*67|!AIVDM,2,2,3,B,000,2*24|8|0|994401045|1|11|
|!AIVDM,2,1,6,A,8>lEU1h0Bj47bCe?qRbnP00000000000000000000000000000000000,0*1F|!AIVDM,2,2,6,A,000,2*22|8|0|994403591|1|11|
|!AIVDM,2,1,4,A,8@2<HV@0BkK1dhau72VFQ0d`T2WdOweBwwwwwwwwwwwwwwwwwwwwwwww,0*78|!AIVDM,2,2,4,A,wt0,2*23|8|1|2300057|1|11|
||!AIVDM,1,1,,A,8@2<HV@0BkK1dhau72VFQ0d`T2WdOweBwwwwwwwwwwwwwwwwwwwwwwwwwt0,2*7E|8|1|2300057|1|11|
|!AIVDM,2,1,5,A,8@2<HV@0BkK1dhau72VFQ0d`T2WdOweBwwwwwwwwwwwwwwwwwwwwwwww,0*79|!AIVDM,2,2,5,A,wt0,2*22|8|1|2300057|1|11|
|!AIVDM,2,1,9,B,8@2<HV@0BkK1dhau72VFQ0d`T2WdOweBwwww,0*76|!AIVDM,2,2,9,B,wwwwwwwwwwwwwwwwwwwwwt0,2*2D|8|1|2300057|1|11|
|!AIVDM,2,1,7,A,8@2<HV@0BkK1dhau72VFQ0d`T2WdOweBwwwwwwwwwwwwwwwwwwwwwwww,0*7B|!AIVDM,2,2,7,A,wt0,2*20|8|1|2300057|1|11|
|!AIVDM,2,1,5,B,8@2<HV@0BkK1dhau72VFQ0d`T2WdOweBwwwwwwwwwwwwwwwwwwwwwwww,0*7A|!AIVDM,2,2,5,B,wt0,2*21|8|1|2300057|1|11|
|!AIVDM,2,1,8,A,8@2<HV@0BkK1dhau72VFQ0d`T2WdOweBwwwwwwwwwwwwwwwwwwwwwwww,0*74|!AIVDM,2,2,8,A,wt0,2*2F|8|1|2300057|1|11|
|!AIVDM,2,1,9,A,8@2<HV@0BkK1dhau72VFQ0d`T2WdOweBwwwwwwwwwwwwwwwwwwwwwwww,0*75|!AIVDM,2,2,9,A,wt0,2*2E|8|1|2300057|1|11|
|!AIVDM,2,1,4,A,8>lEM=00Bj08bCcq:Rbn1@l9P`OF80<p000000000000000000000000,0*60|!AIVDM,2,2,4,A,000,2*20|8|0|994401588|1|11|
|!AIVDM,2,1,7,B,8>lEM<h0Bj06FCd;uJbnRiTuWpRUP0=8000000000000000000000000,0*0F|!AIVDM,2,2,7,B,000,2*20|8|0|994401587|1|11|
|!AIVDM,2,1,0,A,8@2<HW@0BkhN`0dq32VFPhTq`rF8wwe>wwwwwwwwwwwwwwwwwwwwwwww,0*7D|!AIVDM,2,2,0,A,wt0,2*27|8|1|2300061|1|11|
||!AIVDM,1,1,,A,8@2<HW@0BkhN`0dq32VFPhTq`rF8wwe>wwwwwwwwwwwwwwwwwwwwwwwwwt0,2*7F|8|1|2300061|1|11|
|!AIVDM,2,1,8,A,8@2<HW@0BkhN`0dq32VFPhTq`rF8wwe>wwwwwwwwwwwwwwwwwwwwwwww,0*75|!AIVDM,2,2,8,A,wt0,2*2F|8|1|2300061|1|11|
|!AIVDM,2,1,4,B,8@2<HW@0BkhN`0dq32VFPhTq`rF8wwe>wwww,0*7A|!AIVDM,2,2,4,B,wwwwwwwwwwwwwwwwwwwwwt0,2*20|8|1|2300061|1|11|
|!AIVDM,2,1,1,A,8>lEM:h0Bj0Bgkd?l2bnQ@uKcHPE80=T0000Hl0000000000000000gP,0*28|!AIVDM,2,2,1,A,D@0,2*21|8|0|994401579|1|11|
|!AIVDM,2,1,1,A,8@2<HV@0BkLfrhhJWJVG2AQ28JOagweFwwwwwwwwwwwwwwwwwwwwwwww,0*44|!AIVDM,2,2,1,A,wt0,2*26|8|1|2300057|1|11|
||!AIVDM,1,1,,A,8@2<HV@0BkLfrhhJWJVG2AQ28JOagweFwwwwwwwwwwwwwwwwwwwwwwwwwt0,2*47|8|1|2300057|1|11|
|!AIVDM,2,1,6,B,8@2<HV@0BkLfrhhJWJVG2AQ28JOagweFwwwwwwwwwwwwwwwwwwwwwwww,0*40|!AIVDM,2,2,6,B,wt0,2*22|8|1|2300057|1|11|
|!AIVDM,2,1,3,A,8@2<HV@0BkLfrhhJWJVG2AQ28JOagweFwwwwwwwwwwwwwwwwwwwwwwww,0*46|!AIVDM,2,2,3,A,wt0,2*24|8|1|2300057|1|11|
|!AIVDM,2,1,4,A,8@2<HV@0BkLfrhhJWJVG2AQ28JOagweFwwwwwwwwwwwwwwwwwwwwwwww,0*41|!AIVDM,2,2,4,A,wt0,2*23|8|1|2300057|1|11|
||!AIVDM,1,1,,A,8@2<HVh0BkQdbhW8wrVG0hQ:8rJ;wweFwwwwwwwwwwwwwwwwwwwwwwwwwt0,2*61|8|1|2300059|1|11|
|!AIVDM,2,1,1,A,8@2<HVh0BkQdbhW8wrVG0hQ:8rJ;wweFwwwwwwwwwwwwwwwwwwwwwwww,0*62|!AIVDM,2,2,1,A,wt0,2*26|8|1|2300059|1|11|
|!AIVDM,2,1,4,A,8>lEU1h0Bj47b3e?qRbo000000000000000000000000000000000000,0*0C|!AIVDM,2,2,4,A,000,2*20|8|0|994403591|1|11|
|!AIVDM,2,1,9,A,8>lEM;h0Bj03?Sco=rbo1hpp78S600=T0000CP0000000000000000h0,0*05|!AIVDM,2,2,9,A,b00,2*7F|8|0|994401583|1|11|
|!AIVDM,2,1,2,B,8>lEM=00Bj08bCcq:Rbn1@l9P`OF80<p000000000000000000000000,0*65|!AIVDM,2,2,2,B,000,2*25|8|0|994401588|1|11|
|!AIVDM,2,1,4,A,8>lEM<h0Bj06FCd;uJbnRiTuWpRUP0=8000000000000000000000000,0*0F|!AIVDM,2,2,4,A,000,2*20|8|0|994401587|1|11|
|!AIVDM,2,1,7,A,8>lEM:h0Bj0BgSd?l2boQi5NcPPE00=T0000K00000000000000000gP,0*34|!AIVDM,2,2,7,A,D@0,2*27|8|0|994401579|1|11|
|!AIVDM,2,1,5,A,8@2<HVh0BkJs3PW842VGP@8T7:`KOwe>wwwwwwwwwwwwwwwwwwwwwwww,0*12|!AIVDM,2,2,5,A,wt0,2*22|8|1|2300059|1|11|
|!AIVDM,2,1,4,A,8@2<HVh0BkJs3PW842VGP@8T7:`KOwe>wwwwwwwwwwwwwwwwwwwwwwww,0*13|!AIVDM,2,2,4,A,wt0,2*23|8|1|2300059|1|11|
|!AIVDM,2,1,6,A,8@2<HVh0BkJs3PW842VGP@8T7:`KOwe>wwwwwwwwwwwwwwwwwwwwwwww,0*11|!AIVDM,2,2,6,A,wt0,2*21|8|1|2300059|1|11|
|!AIVDM,2,1,8,B,8@2<HVh0BkJs3PW842VGP@8T7:`KOwe>wwww,0*1C|!AIVDM,2,2,8,B,wwwwwwwwwwwwwwwwwwwwwt0,2*2C|8|1|2300059|1|11|
||!AIVDM,1,1,,A,8@2<HVh0BkJs3PW842VGP@8T7:`KOwe>wwwwwwwwwwwwwwwwwwwwwwwwwt0,2*15|8|1|2300059|1|11|
|!AIVDM,2,1,8,B,8>lEM;h0Bj03?Sco=rboQPpq7`Rn@0=T0000;K0000000000000000h0,0*4C|!AIVDM,2,2,8,B,b00,2*7D|8|0|994401583|1|11|
|!AIVDM,2,1,0,B,8@2<HV@0BkK1dhau72VGQ0d`TJWtOweBwwww,0*16|!AIVDM,2,2,0,B,wwwwwwwwwwwwwwwwwwwwwt0,2*24|8|1|2300057|1|11|
||!AIVDM,1,1,,A,8@2<HV@0BkK1dhau72VGQ0d`TJWtOweBwwwwwwwwwwwwwwwwwwwwwwwwwt0,2*17|8|1|2300057|1|11|
|!AIVDM,2,1,5,A,8@2<HV@0BkK1dhau72VGQ0d`TJWtOweBwwwwwwwwwwwwwwwwwwwwwwww,0*10|!AIVDM,2,2,5,A,wt0,2*22|8|1|2300057|1|11|
|!AIVDM,2,1,6,A,8@2<HV@0BkK1dhau72VGQ0d`TJWtOweBwwwwwwwwwwwwwwwwwwwwwwww,0*13|!AIVDM,2,2,6,A,wt0,2*21|8|1|2300057|1|11|
